桃園市老人長期照顧機構暨安養機構一覽表,,,,,,,,,
編號,屬性,機構名稱,負責人,區域別,地址,電話,"收容
對象",核定收容人數,廢棄物
1,私立,財團法人台灣省私立桃園仁愛之家附設成功養護中心,李震淮,桃園區,桃園區成功路2段99號,03-3394151,養護,160(含插2管60床),
2,私立,桃園市私立長安老人長期照顧中心(養護型),邱創權,桃園區,桃園區延平路42號2樓,03-3758059,養護,20(含插2管9床),
3,私立,桃園市私立建元老人長期照顧中心(養護型),劉張秀蓮,桃園區,桃園區大豐路56號1-2樓、60、62號1樓,03-3631755,養護,38(含插2管15床),
4,私立,桃園市私立伯園老人長期照顧中心(養護型),張世育,桃園區,桃園區三民路三段88號1-2F,03-3361669,養護,13(含插2管6床),
5,私立,桃園市私立逸園老人長期照顧中心(養護型),曾明智,桃園區,桃園區民富五街5、7號1、2樓、5之2號3樓,03-3319523,養護,48(含插2管18床),
6,私立,桃園市私立慈家老人長期照顧中心(養護型),蕭陳阿琴,桃園區,桃園區新生路165號6樓之1,03-3331155,養護,40(含插2管12床),
7,私立,桃園市私立慈庭老人長期照顧中心(長期照護型),蕭陳阿琴,桃園區,桃園區新生路165號6樓之2,03-3319379,長照,27,
8,私立,桃園市私立逸慈老人長期照顧中心(養護型) ,李如雅,桃園區,桃園區寶慶路201號1F,03-3015051,安養       養護,"3
 46(含插2管22床)",
9,私立,桃園市私立台大老人長期照顧中心(養護型),鄭淑卿,桃園區,桃園區經國路242號4樓,03-3555036,養護,30(含插2管15床),
10,私立,桃園市私立慈安老人長期照顧中心(養護型),鄭美玲,桃園區,桃園區中山路956巷93號1樓(B1),03-3609856,養護,27(含插2管13床),
11,私立,桃園市私立康全老人長期照顧中心(養護型),許寶全,桃園區,桃園區樹林四街26號1、2樓(B1),03-3615577,養護,38(含插2管15床),
12,私立,桃園市私立家悅老人長期照顧中心(養護型),周東耀,桃園區,桃園區新生路165號5樓之2,03-3342139,養護,49(含插2管15床),
13,私立,桃園市私立康益老人長期照顧中心(長期照護型),吳淑暖,桃園區,桃園區新生路165號5樓之1,03-3347259,長照,21(含日照7床),
14,私立,桃園市私立陽光老人長期照顧中心（養護型）,蕭淑惠,桃園區,桃園區國際路一段264號1樓,03-3618728,養護,15(含插2管7床),
15,私立,桃園市私立同安老人長期照顧中心(養護型),曾國銘,桃園區,桃園區新埔七街101號1樓,03-3552546,養護,40(含插2管10床),
16,私立,桃園市私立康健老人長期照顧中心(養護型),許松峰,桃園區,桃園區新埔七街101號2、3樓,03-3162606,養護,48(含插2管10床),
17,私立,桃園市私立慈恩老人長期照顧中心(養護型),廖千惠,中壢區,中壢區自立里自立三街二巷16、18號(1-3F),03-4558858,養護,28(含插2管14床),
18,私立,桃園市私立桃源老人長期照顧中心(養護型),蕭秀玲,中壢區,中壢區吉林二路101巷15號1F,03-4615050,養護,36(含插2管10床),
19,私立,桃園市私立長祐老人長期照顧中心(養護型),沈益平,中壢區,中壢區環中東路188號、190號2樓,03-4356337,養護        ,46(含插2管23床),
20,私立,桃園市私立東陽老人長期照顧中心(養護型),簡麗玉,中壢區,中壢區內壢興仁路二段152之2號,03-2850571,養護      ,48(含插管24床),
21,私立,財團法人桃園市私立甡光社會福利基金會附設桃園市私立甡光老人長期照顧中心（養護型）,楊牡真,平鎮區,平鎮區南平路二段516巷99號(1-3F、B1),03-4643380,養護  ,196(含插2管76床),
22,私立,財團法人桃園市私立國宏老人長期照顧中心（養護型）,吳黃玉英,平鎮區,平鎮區北貴里20鄰關爺東路19-5號(1-2F、B1),03-4582977,養護,93(含插2管45床),
23,私立,桃園市私立瑞生老人長期照顧中心(養護型),陳瑞玉,平鎮區,平鎮區金陵路五段32之1號.32之2號(1-2F),03-4502966,養護        長照,42(含插2管18床),
24,私立,桃園市私立八德老人長期照顧中心(養護型),王清明,八德區,八德區大智里介壽路一段758巷8號,03-2182128,養護       長照,40(含插2管18床),
25,私立,桃園市私立佳緣老人長期照顧中心(養護型),張淑玉,八德區,八德區中華路92號,03-3797266 ,養護,"16(含插2管5床)
",
26,私立,財團法人台灣省私立桃園仁愛之家,李震淮,楊梅區,楊梅區高榮里梅獅路539巷3號,03-4643385,安養       養護,"110 
293(含2管45床)",
27,私立,桃園市私立明新老人長期照顧中心(養護型),陸欣宜,楊梅區,楊梅區裕成南路313號、315號1樓,03-4314349,養護,13(含插2管6床),
28,私立,桃園市私立家輔老人長期照顧中心（養護型）,游維國,大溪區,大溪區天祥街1號,03-3878806,養護,16(含插2管7床),
29,公設民營,財團法人桃園市私立怡德老人長期照顧中心承辦桃園市蘆竹區老人長期照中人(養護型),古梓龍,蘆竹區,蘆竹區山腳里5鄰黃帝街168號,03-3245369,養護,200(含插2管40床),
